,Nose_x,Nose_y,Head_x,Head_y,roi,transition_index,N_s1_dist,NosePoke,NHaxis_angle,Heading_2_Szone,distance,approaching,EVT1,EVT2,EVT3
123,482.96533203125,145.38284301757812,482.96533203125,145.38284301757812,S,,46.28180184077982,off,146.75195215202243,False,118.31853928243588,False,,,
124,482.9812316894531,145.52378845214844,482.9812316894531,145.52378845214844,S,,46.23034719777586,off,146.46281224160555,False,118.32360414825564,False,,,
125,482.9812316894531,145.59425354003906,482.9812316894531,145.59425354003906,S,,46.55117491067305,off,146.093790667654,False,118.3340605850599,False,,,
126,482.7761535644531,145.60646057128906,482.7761535644531,145.60646057128906,S,,46.69893580098559,off,141.94604253748324,False,118.53867565901449,False,,,
127,482.7734680175781,145.90798950195312,482.7734680175781,145.90798950195312,S,,115.34072259022437,off,140.591584818465,False,118.58649117259453,False,,,
128,482.7761535644531,145.90798950195312,482.7761535644531,145.90798950195312,S,,115.33804508407812,off,140.59554855801866,False,118.58383642447541,True,,,
129,482.7761535644531,145.90798950195312,482.7761535644531,145.90798950195312,S,,115.33804508407812,off,140.59554855801866,False,118.58383642447541,False,,,
130,482.8616638183594,145.88595581054688,482.8616638183594,145.88595581054688,S,,47.762620829103625,off,143.34384708396107,False,118.49597975737359,True,,,
131,483.3584899902344,145.67816162109375,483.3584899902344,145.67816162109375,S,,47.15767319519606,off,145.8935693068787,False,117.97355320435071,True,,,
132,483.91796875,145.4985809326172,483.91796875,145.4985809326172,S,,46.5393481134949,off,147.24677058278718,False,117.39351904505347,True,,,
133,483.91796875,143.6874542236328,483.91796875,143.6874542236328,S,,47.725393382754625,off,144.82726138183986,False,117.13724514066631,True,,,
134,483.91796875,143.57675170898438,483.91796875,143.57675170898438,S,,46.42237117964436,off,145.58589607352764,False,117.12247082831426,True,,,
135,483.9115905761719,143.57675170898438,483.9115905761719,143.57675170898438,S,,46.316673896564794,off,146.85504124710852,False,117.12879234568115,False,,,
136,483.7392272949219,143.57675170898438,483.7392272949219,143.57675170898438,S,,,,146.91990545227637,False,117.29962686976113,False,,,
137,483.7392272949219,143.57675170898438,483.7392272949219,143.57675170898438,S,,,,148.45384076045877,False,117.29962686976113,False,,,
138,483.9115905761719,143.63528442382812,483.9115905761719,143.63528442382812,S,,,,149.00691056633093,False,117.13659087393806,True,,,
139,484.155517578125,143.67005920410156,484.155517578125,143.67005920410156,S,,,,149.30886145728692,False,116.8995075398188,True,,,
